race_name,race_date,distance_labels,region,location_detail,host_org,registration_status,source_url,source,tier
2026 MBN 전국 나주 마라톤대회,2026-10-11,풀 하프 10km 5km,전남,나주종합스포츠파크,"나주시, MBN, 매일경제",접수중,https://gorunning.kr/races/994/2026-mbn-naju-marathon/,gorunning.kr,Tier2
진안고원 포레스티벌 Run & Heal,2026-10-11,16km,전북,국립진안고원산림치유원,주식회사 락앤런,접수중,https://gorunning.kr/races/1260/2026-jinan-goweon-forestival-run-heal/,gorunning.kr,Tier2
2026 당진황금들녘 건강마라톤,2026-10-11,하프 10km 5km,충남,당진 삽교 관광단지 헬기장,당진시스포츠관광협회,접수중,https://gorunning.kr/races/1337/2026-dangjin-golden-fields-marathon/,gorunning.kr,Tier2
2026 인천로봇랜드 퓨처런,2026-10-11,10km 5km,인천,인천로봇랜드 로봇타워,기호일보,접수마감,https://gorunning.kr/races/1283/2026-incheon-robotland-futurerun/,gorunning.kr,Tier2
2026 대학생RUN,2026-10-11,10km 5km,서울,구일역 안양천 축구장,"대학문화유니온, 사단법인 독립유공자유지계승유족회",접수중,https://gorunning.kr/races/1295/2026-univ-run/,gorunning.kr,Tier2
제22회 금천구청장배 건강달리기대회,2026-10-11,10km 5km,서울,안양천 다목적광장,금천구,접수마감,https://gorunning.kr/races/1335/2026-22nd-geumcheon-health-run/,gorunning.kr,Tier2
제10회 가을철 산불조심마라톤,2026-10-11,풀 31km 하프 10km 5km,서울,광평교운동장,한국트레일러너연맹(사)한국산악마라톤연맹,접수중,https://gorunning.kr/races/984/10th-autumn-fire-prevention-marathon/,gorunning.kr,Tier2
2026 평택항마라톤,2026-10-11,하프 10km 5km,경기,평택항 엠에스로지스틱,"평택시체육회, 경인일보",접수마감,https://gorunning.kr/races/1164/2026-pyeongtaek-port-marathon/,gorunning.kr,Tier2
2026 문경 오미자 하프마라톤,2026-10-11,하프 10km 5km,경북,문경시민운동장,영남일보,접수중,https://gorunning.kr/races/1207/2026-mungyeong-omija-half-marathon/,gorunning.kr,Tier2
2026 핑크런,2026-10-11,10km 5km,서울,상암월드컵공원 평화광장,한국유방건강재단,접수중,https://gorunning.kr/races/1211/2026-pink-run/,gorunning.kr,Tier2
2026 울산마라톤대회,2026-10-11,하프 10km 5km,울산,울산종합운동장,울산광역시 육상연맹,접수마감,https://gorunning.kr/races/1247/2026-ulsan-marathon/,gorunning.kr,Tier2
2026 천안 이봉주 마라톤,2026-10-11,하프 10km 5km,충남,천안종합운동장,천안시체육회,접수중,https://gorunning.kr/races/1257/2026-cheonan-lee-bongju-marathon/,gorunning.kr,Tier2
제6회 영등포구청장배 육상대회,2026-10-11,10km 5km,서울,신정교하부육상트랙구장,서울특별시영등포구체육회,접수중,https://gorunning.kr/races/1301/6th-yeongdeungpo-athletics-meet/,gorunning.kr,Tier2
함께런 러닝 페스티벌,2026-10-11,10km 5km,경기,미사경정공원 관리동 광장,"미사강변종합사회복지관, 진선재",접수중,https://gorunning.kr/races/1352/2026-hamkkerun-running-festival/,gorunning.kr,Tier2
2026 대전 Dtrail 레이스,2026-10-17,50km 25km,대전,보문산야외음악당,대전광역시 중구체육회,접수중,https://gorunning.kr/races/1170/2026-daejeon-dtrail/,gorunning.kr,Tier2
2026 경주마라톤,2026-10-17,풀 하프 10km,경북,경주시민운동장,"동아일보,경북도,KAAF",접수마감,https://gorunning.kr/races/1118/2026-gyeongju-marathon/,gorunning.kr,Tier2
제24회 청원생명쌀대청호마라톤,2026-10-17,풀 하프 10km 5km,충북,문의체육공원,청주시체육회,접수마감,https://gorunning.kr/races/848/24th-cheongwon-saengmyeong-ssal-daecheongho-marathon/,gorunning.kr,Tier2
2026 정선동강 마라톤,2026-10-17,하프 10km 5km,강원,정선생태체험학습장,정선군,접수마감,https://gorunning.kr/races/1178/2026-jeongseon-donggang-marathon/,gorunning.kr,Tier2
제7회 충청남도 태안 전국어울림마라톤,2026-10-17,하프 10km 5km,충남,태안군 안면읍 꽃지해수욕장 일원,충청남도장애인체육회,접수중,https://gorunning.kr/races/1203/7th-taean-national-harmony-marathon/,gorunning.kr,Tier2
2026 경청마라톤,2026-10-17,하프 10km 5km,서울,신정교 하부 영롱이 억새구장,(사)행복한동행,접수중,https://gorunning.kr/races/1205/2026-gyeongcheong-marathon/,gorunning.kr,Tier2
제2회 10.19 평화마라톤,2026-10-17,5km,전남,여수진남경기장 주경기장,뉴스탑전남,접수중,https://gorunning.kr/races/1244/2nd-1019-peace-marathon/,gorunning.kr,Tier2
2026 전남광주통합특별시 남구청장배 마라톤,2026-10-17,하프 10km 5km,광주,광주공원앞 광주천변 광주교,전남광주통합특별시남구육상연맹,접수중,https://gorunning.kr/races/1250/2026-gwangju-namgu-marathon/,gorunning.kr,Tier2
2026 의정부시 물길마라톤,2026-10-17,하프 10km 5km,경기,동막교인라인광장,의정부체육회,접수중,https://gorunning.kr/races/1306/2026-uijeongbu-water-marathon/,gorunning.kr,Tier2
제14회 마이크로 패밀리 킥앤런,2026-10-17,,경기,하남 미사 경정공원,주식회사 아른,접수마감,https://gorunning.kr/races/1338/14th-micro-family-kick-and-run/,gorunning.kr,Tier2
